itemid,label,mode_name,count,mode_category,coherence,status,note,,device_category,count
223849,Ventilator Mode,MMV,189,SIMV,based on mCIDE mapping,updated by S. Guleria,"This is a Draeger vent that fundamentally is SIMV, but adjusts the rate to target a minute ventilation. SIMV feels appropriate. (Previously 'Other')",,,
223849,Ventilator Mode,Apnea Ventilation,127,Other,not covered by mCIDE mapping,updated by S. Guleria,"Apnea ventilation refers to a backup mode when the patient stops spontaneously breathing, and I do not believe it corresponds to any particular category of mode. (Previously 'Blow by')",,,
223849,Ventilator Mode,APRV/Biphasic+ApnVol,105,Other,,updated by S. Guleria,APRV is its own mode. Updated to other 10/31,,,
223849,Ventilator Mode,MMV/AutoFlow,67,SIMV,,updated by S. Guleria,"This is a Draeger vent that fundamentally is SIMV, but adjusts the rate to target a minute ventilation. SIMV feels appropriate. (previously 'other')",,,
223849,Ventilator Mode,APRV/Biphasic+ApnPress,34,Other,,updated by S. Guleria,APRV is its own mode. Updated to other 10/31,,,
223849,Ventilator Mode,SIMV/PRES,31,SIMV,not covered by mCIDE mapping,coded/validated by K. Smith,,,,
223849,Ventilator Mode,PRVC/SIMV,23,SIMV,not covered by mCIDE mapping,updated by S. Guleria,"This is referring to SIMV where the controlled breaths are PRVC, updated to SIMV 10/31",,,
223849,Ventilator Mode,Ambient,21,NO MAPPING,,coded/validated by K. Smith,,,,
223849,Ventilator Mode,SIMV,20,SIMV,,coded/validated by K. Smith,,,,
223849,Ventilator Mode,SIMV/AutoFlow,16,SIMV,,coded/validated by K. Smith,,,,
223849,Ventilator Mode,SYNCHRON MASTER,16,Other,not covered by mCIDE mapping,updated by S. Guleria,"independent lung vent mode, switched to other 10/31",,,
223849,Ventilator Mode,CPAP/PSV+Apn TCPL,12,Pressure Support/CPAP,,coded/validated by K. Smith,,,,
223849,Ventilator Mode,SIMV/VOL,11,SIMV,,coded/validated by K. Smith,,,,
223849,Ventilator Mode,SYNCHRON SLAVE,5,Other,not covered by mCIDE mapping,updated by S. Guleria,"independent lung vent mode, switched to other 10/31",,,
223849,Ventilator Mode,P-CMV,2,Pressure Control,,updated by S. Guleria,Previously ACVC,,,
223849,Ventilator Mode,(S) CMV,1,Assist Control-Volume Control,,coded/validated by K. Smith,,,,
229314,Ventilator Mode (Hamilton),APV (cmv),93563,Pressure-Regulated Volume Control,,updated by W. Parker,,,,
229314,Ventilator Mode (Hamilton),SPONT,91535,Pressure Support/CPAP,not covered by mCIDE mapping,coded/validated by K. Smith,,,,
229314,Ventilator Mode (Hamilton),ASV,8566,Other,based on mCIDE mapping,updated by S. Guleria,ASV is a Hamilton-specific mode that is pressure controlled but highly unique. Deserves its own mapping (Previously VS),,,
229314,Ventilator Mode (Hamilton),VS,2779,Volume Support,,updated by Z. Liao,,,,
229314,Ventilator Mode (Hamilton),P-CMV,2531,Pressure Control,,updated by W. Parker,,,,
229314,Ventilator Mode (Hamilton),NIV,1550,Other,based on mCIDE mapping,coded/validated by K. Smith,not being used as an invasive vent when in NIV mode,,,
229314,Ventilator Mode (Hamilton),Ambient,1265,NO MAPPING,,coded/validated by K. Smith,,,,
229314,Ventilator Mode (Hamilton),(S) CMV,603,Assist Control-Volume Control,,coded/validated by K. Smith,,,,
229314,Ventilator Mode (Hamilton),APRV,474,Other,based on mCIDE mapping,updated by S. Guleria,Previously 'PRVC',,,
229314,Ventilator Mode (Hamilton),NIV-ST,152,Other,,updated by S. Guleria,Previously 'PS/CPAP',,,
229314,Ventilator Mode (Hamilton),APV (simv),83,SIMV,,coded/validated by K. Smith,,,,
229314,Ventilator Mode (Hamilton),SIMV,21,SIMV,based on mCIDE mapping,coded/validated by K. Smith,,,,
229314,Ventilator Mode (Hamilton),P-SIMV,12,SIMV,,coded/validated by K. Smith,,,,
229314,Ventilator Mode (Hamilton),DuoPaP,4,Pressure Support/CPAP,,coded/validated by K. Smith,,,,
229314,Ventilator Mode (Hamilton),nCPAP-PS,1,Pressure Support/CPAP,,coded/validated by K. Smith,,,,
227577,BiPap Mode,Spontaneous (S),9733,Other,based on mCIDE mapping,coded/validated by K. Smith,,,,
227577,BiPap Mode,Spontaneous/Timed (S/T) (Back up),731,Other,based on mCIDE mapping,coded/validated by K. Smith,,,,
227577,BiPap Mode,Not applicable,169,Other,based on mCIDE mapping,coded/validated by K. Smith,,,,
227577,BiPap Mode,Timed (T),15,Other,based on mCIDE mapping,coded/validated by K. Smith,,,,
,,,,,,,,,,
,,,,,,,,,,
Reference: https://github.com/kaveriC/CLIF-1.0/blob/main/mCIDE/clif_vocab_respiratory_support_modes.csv,,,,,,,,,,
